Key,ESPAÑOL,ENGLISH,PORTUGUES,РУССКИЙ
monologue_hospital_ethan,"Tengo que encontrar fusibles y baterías para activar el ascensor. Es mi especialidad, pero este lugar me da escalofríos...","I need to find fuses and batteries to power the elevator. It's my specialty, but this place gives me the creeps...","Tenho que encontrar fusíveis e baterias para ativar o elevador. É minha especialidade, mas este lugar me dá arrepios...","Мне нужно найти предохранители и батареи, чтобы запустить лифт. Это по моей части, но от этого места у меня мурашки по коже..."
monologue_hospital_nora,Este lugar está contaminado... tengo que encontrar la tarjeta de acceso de la oficina y salir por el ascensor.,This place is contaminated... I have to find the office keycard and get out through the elevator.,Este lugar está contaminado... tenho que encontrar o cartão de acesso da sala e sair pelo elevador.,Это место загрязнено... мне нужно найти ключ-карту от офиса и выбраться через лифт.
monologue_tunnels_ethan,La consola de bombeo está despresurizada... Necesito reactivar la energía de los generadores para drenar el sector.,The pump console is depressurized... I need to reactivate the generators' power to drain the sector.,O console de bombeamento está despressurizado... Preciso reativar a energia dos geradores para drenar o setor.,"Насосная консоль разгерметизирована... Мне нужно восстановить питание генераторов, чтобы осушить сектор."
monologue_tunnels_nora,El aire es denso... la consola de bombeo de agua debe ser la clave para abrir la escotilla de escape.,The air is dense... the water pump console must be the key to opening the escape hatch.,O ar está denso... o console de bombeamento de água deve ser a chave para abrir a escotilha de escape.,Воздух плотный... водяная насосная консоль должна стать ключом к открытию спасательного люка.
monologue_lore_1,¿Un expediente médico sobre The Amalgam...? ¿Entonces este lugar sabía lo que estaban creando aquí?,A medical file on The Amalgam...? So this place knew what they were creating here?,Um arquivo médico sobre o The Amalgam...? Então este lugar sabia o que estavam criando aqui?,"Медицинское дело о The Amalgam...? Значит, в этом месте знали, что создавали здесь?"
monologue_lore_2,Esta bitácora habla sobre los espejismos de la criatura... no debo dejar que la oscuridad me engañe.,This log talks about the creature's illusions... I must not let the darkness trick me.,Este registro fala sobre as ilusões da criatura... não devo deixar que a escuridão me engane.,"Этот журнал говорит об иллюзиях существа... я не должен позволить тьме обмануть меня."
monologue_lore_4,¿El Fenómeno...? Así llaman a esa cosa que se teletransporta. Tengo que evitar mirarlo directamente.,The Phenomenon...? That's what they call that teleporting thing. I must avoid looking directly at it.,O Fenômeno...? É assim que chamam aquela coisa que se teletransporta. Tenho que evitar olhar diretamente para ele.,Феномен...? Так они называют эту телепортирующуюся тварь. Я должен избегать смотреть прямо на нее.
monologue_lore_5,Las chispas eléctricas... dañarán la batería de mi camcorder si me acerco demasiado.,Electrical sparks... they will drain my camcorder battery if I get too close.,Faíscas elétricas... vão descarregar a bateria da minha filmadora se eu chegar perto demais.,"Электрические искры... они разрядят батарею моей видеокамеры, если я подойду слишком близко."
intro_hospital_ethan,"SISTEMA DE ARCHIVO DE ANOMALÍAS -- VHS-DECAY v0.98\n====================================================\nCINTA RECUPERADA #04: HOSPITAL CENTRAL ABANDONADO\nSUJETO: ETHAN CROSS (INSPECTOR DE INFRAESTRUCTURA)\nOBJETIVO: EVALUACIÓN DE SISTEMAS Y ESTRUCTURA DE ALIMENTACIÓN\n\n\""El hospital fue evacuado de emergencia. Los generadores de respaldo\nestán fallando y el ascensor principal de escape requiere una clave cifrada.\nHe detectado anomalías acústicas en la biblioteca... oigo pasar las páginas.\nDebo restaurar la energía de la subestación y salir rápido de aquí.\""\n====================================================","ANOMALY ARCHIVE SYSTEM -- VHS-DECAY v0.98\n====================================================\nRECOVERED TAPE #04: ABANDONED CENTRAL HOSPITAL\nSUBJECT: ETHAN CROSS (INFRASTRUCTURE INSPECTOR)\nOBJECTIVE: POWER GRID AND STRUCTURAL ASSESSMENT\n\n\""The hospital was evacuated in an emergency. The backup generators are failing and the main escape elevator requires an encrypted key.\nI have detected acoustic anomalies in the library... I hear pages turning.\nI must restore the power at the substation and get out of here quickly.\""\n====================================================","SISTEMA DE ARQUIVOS DE ANOMALIAS -- VHS-DECAY v0.98\n====================================================\nFITA RECUPERADA #04: HOSPITAL CENTRAL ABANDONADO\nSUJEITO: ETHAN CROSS (INSPETOR DE INFRAESTRUTURA)\nOBJETIVO: AVALIAÇÃO DA REDE ELÉTRICA E ESTRUTURA\n\n\""O hospital foi evacuado em emergência. Os geradores de reserva estão falhando e o elevador de fuga principal exige uma senha criptografada.\nDetectei anomalias acústicas na biblioteca... ouço páginas passando.\nPreciso restaurar a energia na subestação e sair daqui rapidamente.\""\n====================================================","СИСТЕМА АРХИВАЦИИ АНОМАЛИЙ -- VHS-DECAY v0.98\n====================================================\nВОССТАНОВЛЕННАЯ ПЛЕНКА #04: ЗАБРОШЕННАЯ ЦЕНТРАЛЬНАЯ БОЛЬНИЦА\nСУБЪЕКТ: ИТАН КРОСС (ИНСПЕКТОР ИНФРАСТРУКТУРЫ)\nЦЕЛЬ: ОЦЕНКА ЭЛЕКТРОСЕТИ И СТРУКТУРЫ\n\n\""Больница была эвакуирована в экстренном порядке. Резервные генераторы\nвыходят из строя, а для главного лифта требуется зашифрованный ключ.\nЯ обнаружил акустические аномалии в библиотеке... слышу, как переворачиваются страницы.\nЯ должен восстановить питание на подстанции и быстро убираться отсюда.\""\n===================================================="
intro_hospital_nora,"SISTEMA DE ARCHIVO DE ANOMALÍAS -- VHS-DECAY v0.98\n====================================================\nCINTA RECUPERADA #04: HOSPITAL CENTRAL ABANDONADO\nSUJETO: NORA HAYES (INVESTIGADORA AMBIENTAL)\nOBJETIVO: ANÁLISIS DE RESIDUOS Y EVALUACIÓN DE RIESGOS\n\n\""El hospital fue evacuado en absoluto silencio. Hay rastros de una severa\ncontaminación en los niveles inferiores y el ascensor está bloqueado.\nAlgo se arrastra por el suelo y vigila desde la oscuridad de la biblioteca principal...\nNo estoy sola aquí. Debo conseguir las pruebas y huir antes de que sea tarde.\""\n====================================================","ANOMALY ARCHIVE SYSTEM -- VHS-DECAY v0.98\n====================================================\nRECOVERED TAPE #04: ABANDONED CENTRAL HOSPITAL\nSUBJECT: NORA HAYES (ENVIRONMENTAL INVESTIGATOR)\nOBJECTIVE: WASTE ANALYSIS AND RISK ASSESSMENT\n\n\""The hospital was evacuated in absolute silence. There are traces of severe contamination in the lower levels and the elevator is blocked.\nSomething is crawling on the floor and watching from the shadows of the main library... I'm not alone.\nI must gather the evidence and escape before it's too late.\""\n====================================================","SISTEMA DE ARQUIVOS DE ANOMALIAS -- VHS-DECAY v0.98\n====================================================\nFITA RECUPERADA #04: HOSPITAL CENTRAL ABANDONADO\nSUJEITO: NORA HAYES (INVESTIGADORA AMBIENTAL)\nOBJETIVO: ANÁLISE DE RESÍDUOS E AVALIAÇÃO DE RISCOS\n\n\""O hospital foi evacuado em silêncio absoluto. Há vestígios de contaminação severa nos níveis inferiores e o elevador está bloqueado.\nAlgo está se arrastando pelo chão e vigiando da escuridão da biblioteca principal... Não estou sozinha.\nPreciso coletar as evidências e fugir antes que seja tarde.\""\n====================================================","СИСТЕМА АРХИВАЦИИ АНОМАЛИЙ -- VHS-DECAY v0.98\n====================================================\nВОССТАНОВЛЕННАЯ ПЛЕНКА #04: ЗАБРОШЕННАЯ ЦЕНТРАЛЬНАЯ БОЛЬНИЦА\nСУБЪЕКТ: НОРА ХЕЙС (ИССЛЕДОВАТЕЛЬ-ЭКОЛОГ)\nЦЕЛЬ: АНАЛИЗ ОТХОДОВ И ОЦЕНКА РИСКОВ\n\n\""Больница была эвакуирована в абсолютной тишине. На нижних уровнях\nобнаружены следы сильного загрязнения, а лифт заблокирован.\nЧто-то ползает по полу и наблюдает из темноты главной библиотеки...\nЯ здесь не одна. Я должна собрать улики и сбежать, пока не стало слишком поздно.\""\n===================================================="
intro_tunnels_ethan,"SISTEMA DE ARCHIVO DE ANOMALÍAS -- VHS-DECAY v0.98\n====================================================\nCINTA RECUPERADA #07: SECTOR DE DRENAJES SUBTERRÁNEOS B-12\nSUJETO: ETHAN CROSS (INSPECTOR DE INFRAESTRUCTURA)\nOBJETIVO: INSPECCIÓN DE LA CONSOLA DE BOMBEO Y ENERGÍA SECUNDARIA\n\n\""La consola de bombeo principal ha fallado. El generador secundario\nestá apagado por sobrecarga. Hay una interferencia electromagnética\nsevera que distorsiona mi equipo. Debo presurizar los tres tanques\nde drenaje para abrir la compuerta de escape.\""\n====================================================","ANOMALY ARCHIVE SYSTEM -- VHS-DECAY v0.98\n====================================================\nRECOVERED TAPE #07: B-12 SUBTERRANEAN DRAINAGE SECTOR\nSUBJECT: ETHAN CROSS (INFRASTRUCTURE INSPECTOR)\nOBJECTIVE: PUMP CONSOLE AND AUXILIARY POWER INSPECTION\n\n\""The main pump console has failed. The auxiliary generator is shut down due to overload.\nThere is severe electromagnetic interference distorting my equipment.\nI must pressurize the three drainage tanks to open the escape hatch.\""\n====================================================","SISTEMA DE ARQUIVOS DE ANOMALIAS -- VHS-DECAY v0.98\n====================================================\nFITA RECUPERADA #07: SETOR DE DRENAGEM SUBTERRÂNEO B-12\nSUJEITO: ETHAN CROSS (INSPETOR DE INFRAESTRUTURA)\nOBJETIVO: INSPEÇÃO DO CONSOLE DE BOMBEO E ENERGIA AUXILIAR\n\n\""O console de bombeamento principal falhou. O gerador secundário está desligado por sobrecarga.\nHá uma interferência eletromagnética severa distorcendo meu equipamento.\nPreciso pressurizar os três tanques de drenagem para abrir a escotilha de fuga.\""\n====================================================","СИСТЕМА АРХИВАЦИИ АНОМАЛИЙ -- VHS-DECAY v0.98\n====================================================\nВОССТАНОВЛЕННАЯ ПЛЕНКА #07: ПОДЗЕМНЫЙ ДРЕНАЖНЫЙ СЕКТОР B-12\nСУБЪЕКТ: ИТАН КРОСС (ИНСПЕКТОР ИНФРАСТРУКТУРЫ)\nЦЕЛЬ: ОСМОТР НАСОСНОЙ КОНСОЛИ И ВСПОМОГАТЕЛЬНОГО ПИТАНИЯ\n\n\""Главная насосная консоль вышла из строя. Вспомогательный генератор\nотключен из-за перегрузки. Наблюдаются сильные электромагнитные помехи,\nискажающие работу моего оборудования. Я должен повысить давление\nв трех дренажных резервуарах, чтобы открыть спасательный люк.\""\n===================================================="
intro_tunnels_nora,"SISTEMA DE ARCHIVO DE ANOMALÍAS -- VHS-DECAY v0.98\n====================================================\nCINTA RECUPERADA #07: SECTOR DE DRENAJES SUBTERRÁNEOS B-12\nSUJETO: NORA HAYES (INVESTIGADORA AMBIENTAL)\nOBJETIVO: ANÁLISIS DE TOXICIDAD Y LOCALIZACIÓN DE ANOMALÍAS\n\n\""El agua de los drenajes muestra niveles críticos de toxicidad.\nUna densa niebla negra está llenando rápidamente los pasadizos.\nMi camcorder está captando parpadeos extraños y estática severa.\nDebo activar la consola de bombeo para drenar la zona y encontrar la salida.\""\n====================================================","ANOMALY ARCHIVE SYSTEM -- VHS-DECAY v0.98\n====================================================\nRECOVERED TAPE #07: B-12 SUBTERRANEAN DRAINAGE SECTOR\nSUBJECT: NORA HAYES (ENVIRONMENTAL INVESTIGATOR)\nOBJECTIVE: TOXICITY ANALYSIS AND ANOMALY DETECTION\n\n\""The drainage water shows critical toxicity levels.\nA dense black fog is quickly filling the tunnels.\nMy camcorder is catching strange flickers and severe static.\nI must activate the pump console to drain the zone and find the exit.\""\n====================================================","SISTEMA DE ARQUIVOS DE ANOMALIAS -- VHS-DECAY v0.98\n====================================================\nFITA RECUPERADA #07: SETOR DE DRENAGEM SUBTERRÂNEO B-12\nSUJEITO: NORA HAYES (INVESTIGADORA AMBIENTAL)\nOBJETIVO: ANÁLISE DE TOXICIDADE E DETECÇÃO DE ANOMALIAS\n\n\""A água da drenagem mostra níveis críticos de toxicidade.\nUma névoa negra densa está enchendo rapidamente os túneis.\nMinha filmadora está registrando piscadas estranhas e estática severa.\nPreciso ativar o console de bombeamento para drenar a área e encontrar a saída.\""\n====================================================","СИСТЕМА АРХИВАЦИИ АНОМАЛИЙ -- VHS-DECAY v0.98\n====================================================\nВОССТАНОВЛЕННАЯ ПЛЕНКА #07: ПОДЗЕМНЫЙ ДРЕНАЖНЫЙ СЕКТОР B-12\nСУБЪЕКТ: НОРА ХЕЙС (ИССЛЕДОВАТЕЛЬ-ЭКОЛОГ)\nЦЕЛЬ: АНАЛИЗ ТОКСИЧНОСТИ И ОБНАРУЖЕНИЕ АНОМАЛИЙ\n\n\""Дренажная вода показывает критические уровни токсичности.\nГустой черный туман быстро заполняет туннели.\nМоя видеокамера фиксирует странные мерцания и сильные помехи.\nЯ должна активировать насосную консоль, чтобы осушить зону и найти выход.\""\n===================================================="
intro_depot_ethan,"SISTEMA DE ARCHIVO DE ANOMALÍAS -- VHS-DECAY v0.98\n====================================================\nCINTA RECUPERADA #11: DEPÓSITO INDUSTRIAL NORTE-4\nSUJETO: ETHAN CROSS (INSPECTOR DE INFRAESTRUCTURA)\nESTADO DE LA INSTALACIÓN: EVACUADA · SELLADA\n====================================================\n\n\""Esta cinta fue recuperada de los archivos de seguridad\ndel complejo industrial. El personal desapareció sin dejar\nrastro la noche del 24 de octubre de 1997.\n\nUna presencia fue registrada repetidamente en los pasillos\ndel almacén. Las cámaras captaron una silueta que imitaba\nlos movimientos de los trabajadores.\n\nNO SE PUDO IDENTIFICAR.\""\n====================================================","ANOMALY ARCHIVE SYSTEM -- VHS-DECAY v0.98\n====================================================\nRECOVERED TAPE #11: NORTH-4 INDUSTRIAL DEPOT\nSUBJECT: ETHAN CROSS (INFRASTRUCTURE INSPECTOR)\nFACILITY STATUS: EVACUATED · SEALED\n====================================================\n\n\""This tape was recovered from the security archives\nof the industrial complex. The staff disappeared without\na trace on the night of October 24, 1997.\n\nA presence was repeatedly recorded in the warehouse halls.\nSecurity cameras captured a silhouette that mimicked\nthe movements of the workers.\n\nCOULD NOT BE IDENTIFIED.\""\n====================================================","SISTEMA DE ARQUIVOS DE ANOMALIAS -- VHS-DECAY v0.98\n====================================================\nFITA RECUPERADA #11: DEPÓSITO INDUSTRIAL NORTE-4\nSUJEITO: ETHAN CROSS (INSPETOR DE INFRAESTRUTURA)\nSTATUS DA INSTALAÇÃO: EVACUADA · SELADA\n====================================================\n\n\""Esta fita foi recuperada dos arquivos de segurança\ndo complexo industrial. O pessoal desapareceu sem deixar\nrastro na noite de 24 de outubro de 1997.\n\nUma presença foi registrada repetidamente nos corredores\ndo armazém. As câmeras captaram uma silhueta que imitava\nos movimentos dos trabalhadores.\n\nNÃO FOI POSSÍVEL IDENTIFICAR.\""\n====================================================","СИСТЕМА АРХИВАЦИИ АНОМАЛИЙ -- VHS-DECAY v0.98\n====================================================\nВОССТАНОВЛЕННАЯ ПЛЕНКА #11: ПРОМЫШЛЕННЫЙ СКЛАД СЕВЕР-4\nСУБЪЕКТ: ИТАН КРОСС (ИНСПЕКТОР ИНФРАСТРУКТУРЫ)\nСТАТУС ОБЪЕКТА: ЭВАКУИРОВАН · ОПЕЧАТАН\n====================================================\n\n\""Эта пленка была восстановлена из архивов службы безопасности\nпромышленного комплекса. Персонал бесследно исчез\nв ночь на 24 октября 1997 года.\n\nВ коридорах склада неоднократно фиксировалось чье-то присутствие.\nКамеры видеонаблюдения запечатлели силуэт, который имитировал\nдвижения рабочих.\n\nИДЕНТИФИЦИРОВАТЬ НЕ УДАЛОСЬ.\""\n===================================================="
intro_depot_nora,"SISTEMA DE ARCHIVO DE ANOMALÍAS -- VHS-DECAY v0.98\n====================================================\nCINTA RECUPERADA #11: DEPÓSITO INDUSTRIAL NORTE-4\nSUJETO: NORA HAYES (INVESTIGADORA AMBIENTAL)\nESTADO DE LA INSTALACIÓN: EVACUADA · SELLADA\n====================================================\n\n\""Esta cinta fue recuperada de los archivos de seguridad\ndel complejo industrial. El personal desapareció sin dejar\nrastro la noche del 24 de octubre de 1997.\n\nAlgo en ese lugar aprendió a moverse como nosotros.\nLas cámaras lo registraron. Nadie sobrevivió para dar\nun informe oficial.\n\nNO SE PUDO IDENTIFICAR.\""\n====================================================","ANOMALY ARCHIVE SYSTEM -- VHS-DECAY v0.98\n====================================================\nRECOVERED TAPE #11: NORTH-4 INDUSTRIAL DEPOT\nSUBJECT: NORA HAYES (ENVIRONMENTAL INVESTIGATOR)\nFACILITY STATUS: EVACUATED · SEALED\n====================================================\n\n\""This tape was recovered from the security archives\nof the industrial complex. The staff disappeared without\na trace on the night of October 24, 1997.\n\nSomething in that place learned to move like us.\nThe cameras recorded it. No one survived to file\nan official report.\n\nCOULD NOT BE IDENTIFIED.\""\n====================================================","SISTEMA DE ARQUIVOS DE ANOMALIAS -- VHS-DECAY v0.98\n====================================================\nFITA RECUPERADA #11: DEPÓSITO INDUSTRIAL NORTE-4\nSUJEITO: NORA HAYES (INVESTIGADORA AMBIENTAL)\nSTATUS DA INSTALAÇÃO: EVACUADA · SELADA\n====================================================\n\n\""Esta fita foi recuperada dos arquivos de segurança\ndo complexo industrial. O pessoal desapareceu sem deixar\nrastro na noite de 24 de outubro de 1997.\n\nAlgo naquele lugar aprendeu a se mover como nós.\nAs câmeras registraram. Ninguém sobreviveu para fazer\num relatório oficial.\n\nNÃO FOI POSSÍVEL IDENTIFICAR.\""\n====================================================","СИСТЕМА АРХИВАЦИИ АНОМАЛИЙ -- VHS-DECAY v0.98\n====================================================\nВОССТАНОВЛЕННАЯ ПЛЕНКА #11: ПРОМЫШЛЕННЫЙ СКЛАД СЕВЕР-4\nСУБЪЕКТ: НОРА ХЕЙС (ИССЛЕДОВАТЕЛЬ-ЭКОЛОГ)\nСТАТУС ОБЪЕКТА: ЭВАКУИРОВАН · ОПЕЧАТАН\n====================================================\n\n\""Эта пленка была восстановлена из архивов службы безопасности\nпромышленного комплекса. Персонал бесследно исчез\nв ночь на 24 октября 1997 года.\n\nЧто-то в этом месте научилось двигаться как мы.\nКамеры это зафиксировали. Никто не выжил, чтобы составить\nофициальный отчет.\n\nИДЕНТИФИЦИРОВАТЬ НЕ УДАЛОСЬ.\""\n===================================================="
lore_hosp_title_1,Registro del Dr. Vance (The Amalgam),Dr. Vance's Log (The Amalgam),Registro do Dr. Vance (The Amalgam),Журнал доктора Вэнса (The Amalgam)
